month,rain_days,rain_amount,humidity,sun_hrs,mean_temp
1982-01-01,10,107.1,81.2,5.6,25.9
1982-02-01,5,27.8,79.5,7.6,27.1
1982-03-01,11,160.8,82.3,5.1,27.2
1982-04-01,14,157.0,85.9,4.7,27.0
1982-05-01,10,102.2,83.2,5.8,28.0
1982-06-01,8,59.5,80.3,7.3,28.4
1982-07-01,8,76.3,77.6,7.6,28.2
1982-08-01,11,169.5,80.4,5.4,27.7
1982-09-01,9,54.1,80.6,5.2,27.9
1982-10-01,10,39.3,81.5,5.6,27.4
1982-11-01,13,134.0,83.4,5.8,27.3
1982-12-01,21,494.1,87.7,3.3,26.2
1983-01-01,18,246.0,85.6,4.3,26.5
1983-02-01,2,5.6,78.0,9.3,28.1
1983-03-01,2,18.6,76.0,8.9,28.9
1983-04-01,4,33.6,77.2,6.6,29.4
1983-05-01,11,160.8,83.2,5.9,28.3
1983-06-01,11,94.0,82.4,5.9,28.3
1983-07-01,18,190.0,83.7,5.4,27.6
1983-08-01,10,262.2,81.2,6.3,28.1
1983-09-01,18,170.8,84.4,3.8,27.2
1983-10-01,17,212.7,82.5,5.2,27.6
1983-11-01,18,228.8,85.2,3.2,26.6
1983-12-01,16,370.6,88.0,2.7,25.4
1984-01-01,18,251.2,85.8,4.1,25.5
1984-02-01,19,470.4,86.0,4.1,25.8
1984-03-01,19,361.3,85.4,5.3,26.5
1984-04-01,17,153.1,83.8,6.2,27.3
1984-05-01,12,186.5,84.1,6.4,27.3
1984-06-01,14,255.0,83.1,5.4,27.5
1984-07-01,12,127.2,83.7,5.7,27.2
1984-08-01,13,102.7,84.1,6.0,27.4
1984-09-01,17,186.7,83.9,4.9,26.8
1984-10-01,11,187.5,82.5,5.3,27.4
1984-11-01,17,127.7,86.3,4.3,26.5
1984-12-01,22,277.4,86.7,3.3,26.0
1985-01-01,7,111.1,81.5,8.7,26.6
1985-02-01,11,79.3,84.0,6.5,27.0
1985-03-01,13,88.0,83.9,5.6,27.1
1985-04-01,14,110.5,83.8,5.5,27.5
1985-05-01,12,70.1,83.4,5.7,28.0
1985-06-01,14,37.0,79.4,5.8,28.2
1985-07-01,17,131.8,83.1,5.3,27.0
1985-08-01,11,56.9,80.4,6.2,27.7
